
2025-10-25 17:18:17|127.0.0.1|http://secure-login.example.test/login
2025-10-25 09:36:18|127.0.0.1|http://bank.example.invalid/secure-signin|prediction_api
2025-10-25 09:36:40|127.0.0.1|http://account.example.invalid/signin?user=alice|prediction_api
2025-10-25 09:39:01|127.0.0.1|/|access_denied
2025-10-25 09:39:14|127.0.0.1|/dashboard|access_denied
2025-10-25 09:39:26|127.0.0.1|/dashboard|access_denied
2025-10-25 09:46:40|127.0.0.1|/|access_denied
2025-10-25 09:53:36|127.0.0.1|http://account.example.invalid/signin?user=alice|Info
2025-10-25 09:53:37|127.0.0.1|http://account.example.invalid/signin?user=alice|Info
2025-10-25 09:53:38|127.0.0.1|http://account.example.invalid/signin?user=alice|Info
2025-10-25 09:53:39|127.0.0.1|http://account.example.invalid/signin?user=alice|Info
2025-10-25 09:53:46|127.0.0.1|https://iniicseries.weebly.com/|Info
2025-10-25 09:53:47|127.0.0.1|https://iniicseries.weebly.com/|Info
2025-10-25 09:53:50|127.0.0.1|http://account.example.invalid/signin?user=alice|Info
2025-10-25 09:59:51|127.0.0.1|https://chatgpt.com|prediction_api_legitimate
2025-10-25 10:00:35|127.0.0.1|http://account.example.invalid/signin?user=alice|prediction_api_phishing
2025-10-25 10:11:55|127.0.0.1|http://account.example.invalid/signin?user=alice|prediction_api_phishing
2025-10-25 10:13:02|127.0.0.1|/|prediction_api_legitimate
2025-10-25 10:13:13|127.0.0.1|/dashboard|prediction_api_legitimate
2025-10-25 10:20:16|127.0.0.1|/|access_denied_blocked_ip
2025-10-25 10:26:25|127.0.0.1|/|access_denied
2025-10-25 10:33:37|127.0.0.1|/|access_denied
2025-10-25 18:38:38|127.0.0.1|http://account.example.invalid/signin?user=alice|Phishing
2025-10-25 10:47:41|127.0.0.1|/|access_denied_blocked_ip
2025-10-25 10:51:57|127.0.0.1|http://bank.example.invalid/secure-login|prediction_phishing
2025-10-25 10:51:59|127.0.0.1|/login|access_denied_dev
2025-10-25 11:02:38|127.0.0.1|http://bank.example.invalid/secure-login|prediction_phishing
2025-10-25 11:02:39|127.0.0.1|/login|access_denied_dev
2025-10-25 11:05:50|127.0.0.1|http://bank.example.invalid/secure-login|prediction_phishing
2025-10-25 11:06:28|127.0.0.1|http://bank.example.invalid/secure-login|prediction_phishing
2025-10-25 11:06:30|127.0.0.1|/login|access_denied_dev
2025-10-25 11:08:41|127.0.0.1|http://bank.example.invalid/secure-login|prediction_phishing
2025-10-25 11:08:44|127.0.0.1|/login|access_denied_dev
2025-10-25 11:09:53|127.0.0.1|http://bank.example.invalid/secure-login|prediction_phishing
2025-10-25 11:09:54|127.0.0.1|/login|access_denied_dev
2025-10-25 19:12:47.550834 | 127.0.0.1 | http://bank.example.invalid/secure-login | Blocked (Phishing)
2025-10-25 19:53:16.687645 | 127.0.0.1 | /dashboard | Access Denied (Blacklisted)
2025-10-25 11:59:24|127.0.0.1|/|Access Denied
2025-10-25 12:00:00|127.0.0.1|https://chatgpt.com|Legitimate
